inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Mumbai Indians,1,C Green,0,0,DL Chahar,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,0,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,0,DL Chahar,4,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,0,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,4,0,DL Chahar,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,C Green,5,0,DL Chahar,4,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,1,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,C Green,2,1,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,1,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,C Green,4,1,TU Deshpande,0,1,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,RG Sharma,5,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,2,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,2,DL Chahar,0,1,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,2,2,DL Chahar,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,RG Sharma,3,2,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,RG Sharma,4,2,DL Chahar,0,1,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,5,2,DL Chahar,2,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,0,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,1,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,2,3,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,3,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,4,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,5,3,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,0,4,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,1,4,DL Chahar,4,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,2,4,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,3,4,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,4,4,DL Chahar,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,5,4,DL Chahar,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,0,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,1,5,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,2,5,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,3,5,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,4,5,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,5,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,0,6,RA Jadeja,0,0,,0,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,1,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,2,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,3,6,RA Jadeja,4,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,4,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,5,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,6,6,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,0,7,MM Ali,4,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,1,7,MM Ali,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,2,7,MM Ali,4,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,3,7,MM Ali,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,4,7,MM Ali,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,5,7,MM Ali,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,0,8,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,1,8,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,2,8,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,3,8,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,4,8,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,5,8,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,0,9,M Theekshana,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,N Wadhera,1,9,M Theekshana,1,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,2,9,M Theekshana,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,3,9,M Theekshana,4,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,SA Yadav,4,9,M Theekshana,0,0,,1,0,1,0,Chennai,2023-05-06,2023,T20,49,Mumbai Indians vs Chennai Super Kings
